PUBLISHER_NAME;PUBLISHER_FILENAME;PUBLISHER_MODE;PUBLISHER_URL;PUBLISHER_PAGES;PUBLISHER_PAGES_NR;PUBLISHER_RESULTS_NODE;PUBLISHER_RESULTS_REGEX;PUBLISHER_RESULTS_ADDCODE_YESNO;PUBLISHER_RESULTS_ADDITIONAL_CODE;PUBLISHER_RESULTS_PER_PAGE;PUBLISHER_PAGE_URL_BEFORE;PUBLISHER_PAGE_URL_AFTER;PUBLISHER_PAGE_I;JOURNALNAME_CSS;JOURNALNAMES_ADDCODE_YESNO;JOURNALNAMES_ADDITIONAL_CODE;JOURNAL_URL_NODES;JOURNALURL_ADDCODE_YESNO;JOURNALURL_ADDITIONAL_CODE;JOURNALURL_PASTE;COMMENT;OTHER
Palgrave;palgrave;rvest;https://www.palgrave.com/gp/journals;single;single;;;0;;;;;;div.cms-collection-list li > a > span;1;journalnames <- journalnames[nchar(journalnames) > 2];div.cms-collection-list li > a;1;"journalurl[grepl(""(http.{0,1}://www.palgrave.com/.{5,5}|http://www.nature.com/palcomms/)"", journalurl)]";;fine;
Taylor & Francis;tandf;{STH MISSING HERE};;;;;;;;;;;;;;;;;;;COMPLICATED (ALPHABET);
Thieme;thieme;rvest;https://www.thieme.de/de/thieme-gruppe/abo-zeitschriften-25118.htm;single;single;;;0;;;;;;#newspaper-list_25119 > ul > li strong;0;;#newspaper-list_25119 > ul > li > ul > li:nth-child(1) a;1;"journalurl <- ifelse(grepl('^https://', journalurl), journalurl, paste0('https://www.thieme.de', journalurl)); journalurl <- Filter(function(x) !any(grepl(""shop/"", x)), journalurl)";;error with number of journals/links;
University of Alberta Press;ualberta;rvest;https://library.ualberta.ca/publishing/open-journals;single;single;;;0;;;;;;"div.left-large > p > a[target=""_blank""]";0;;"div.left-large > p > a[target=""_blank""]";0;;;fine;
Wiley;wiley;rvest;;MULTIPLE;55;;;0;;;https://onlinelibrary.wiley.com/action/showPublications?PubType=journal&pageSize=50&startPage=;;i-1;li.search__item h3;0;;li.search__item a.visitable;0;;https://onlinelibrary.wiley.com;COMPLICATED;
World Scientific;worldsci;rvest;https://www.worldscientific.com/action/showPublications?PubType=journal&startPage=0&pageSize=100;MULTIPLE;UNKNOWN;#pb-page-content > div > div.container > div > main > div.col-sm-8 > div > div.search-result__meta > div > div.pull-left.search__result > span.result__count;.*;0;;100;https://www.worldscientific.com/action/showPublications?PubType=journal&pageSize=100&startPage=;;i-1;.search-result__body.titles-results h4;0;;.search-result__body.titles-results h4 > a;0;;https://www.worldscientific.com;fine;
BioMedCentral;bmc;rvest;https://www.biomedcentral.com/journals-a-z;single;single;;;0;;;;;;#journalList li.c-list-group__item;1;journalnames <- stringr::str_squish(journalnames);#journalList li.c-list-group__item > a;1;"journalurl <- Filter(function(x) !any(grepl(""getpublished/peer-review-process"", x)), journalurl)";https:;fine;
Universitas Negeri Semarang;unnes;rvest;https://journal.unnes.ac.id/sju/;single;single;;;0;;;;;;ul.media-list h3.media-heading a;0;;ul.media-list h3.media-heading a;0;;;fine;
Elsevier;elsevier;rvest;https://www.elsevier.com/search-results?labels=journals&in-publication=true&sort=document.titleRaw-asc;MULTIPLE;UNKNOWN;.search-status-inner;^[\S\s]*(?=results);1;"results <- stringr::str_squish(results); results <- gsub("","", """", results)";10;https://www.elsevier.com/search-results?labels=journals&in-publication=true&sort=document.titleRaw-asc&page=;;i;h2.search-result-journal-title;0;;h2.search-result-journal-title > a;0;;;fine;
OMICS;omics;RSelenium;https://www.omicsonline.org/open-access-journals-list.php;single;single;;;0;;;;;;.card-body > nav > a;1;"journalnames <- gsub(""( Hybrid)* Open Access Journal"", """", journalnames)";.card-body > nav > a;0;;;fine;OMIT_URL_UNIQUE
SCIRP;scirp;rvest;https://www.scirp.org/journal/indexbytitle.aspx;single;single;;;0;;;;;;div.content section div.mediabox ul li a;0;;div.content section div.mediabox ul li a;0;;;fine;
Academic Journals;acadjourn;rvest;https://academicjournals.org/journal;single;single;;;0;;;;;;div.col-lg-12 h5 a;0;;div.col-lg-12 h5 a;0;;https://academicjournals.org;fine;
Allied Academies;allied;rvest;https://www.alliedacademies.org/journals-by-title.php;single;single;;;0;;;;;;main .nav > a.nav-link;0;;main .nav > a.nav-link;0;;;fine;
University of Chicago Press;uchicago;rvest;;MULTIPLE;5;;;0;;;https://www.journals.uchicago.edu/action/showPublications?pageSize=20&startPage=;;i-1;h4.meta__title > a;0;;h4.meta__title > a;0;;https://www.journals.uchicago.edu/toc;fine;
ACS;acs;{STH MISSING HERE};;;;;;;;;;;;;;;;;;;;
JSciMedCentral;jscimed;rvest;https://www.jscimedcentral.com/journals.php;single;single;;;0;;;;;;div.tab_container > div.tab_content td > div > a;1;"journalnames <- journalnames[!journalnames %in% ""Home Page""]";div.tab_container > div.tab_content td > div > a;0;;https://www.jscimedcentral.com/;fine;
Copernicus;;{STH MISSING HERE};;;;;;;;;;;;;;;;;;;COMPLICATED (SUBCATEGORIES);
Ubiquity Press;ubiquity1;rvest;https://www.ubiquitypress.com/site/journals/;single;single;;;0;;;;;;ul.journal-list > li h2;0;;ul.journal-list > li a.series-button;0;;;fine;
Ubiquity Press;ubiquity2;rvest;https://www.ubiquitypress.com/site/journals/hosted/;single;single;;;0;;;;;;ul.journal-list > li h2;1;"journalnames <- journalnames[!journalnames %in% ""Impact on Policy and Practice""]";ul.journal-list > li a.series-button;0;;;fine;
ABA;;{STH MISSING HERE};;;;;;;;;;;;;;;;;;;[too heterogenenous to scrape];
bepress;;{STH MISSING HERE};;;;;;;;;;;;;;;;;;;[not a publisher];
Minerva Medica;minerva;rvest;https://www.minervamedica.it/en/journals/index.php;single;single;;;0;;;;;;#Content > div:nth-child(5) > p;0;;#Content > div:nth-child(5) > p > a;0;;https://www.minervamedica.it/en/journals;fine;
Universitas Diponegoro;;{STH MISSING HERE};;;;;;;;;;;;;;;;;;;COMPLICATED (UNSTRUCTURED);
Pensoft Publishers;pensoft;rvest;https://pensoft.net/browse-journals;single;single;;;0;;;;;;div.col-md-5.col-xs-12 > a;0;;div.col-md-5.col-xs-12 > a;0;;;fine;
ASME;asme;RSelenium;https://www.asme.org/publications-submissions/journals/find-journal?type=Journals&perPage=25&sortBy=title&sortByDir=asc&page=1;MULTIPLE;2;div.total-results;(?<=of ).*?(?= );0;;25;https://www.asme.org/publications-submissions/journals/find-journal?type=Journals&perPage=25&sortBy=title&sortByDir=asc&page=;;i;section.listing h5;0;;section.listing > div > a;0;;https://www.asme.org;(not working, possibly because of Rselenium and Multiple pages?);
JAMA;jama;rvest;https://jamanetwork.com/;single;single;;;0;;;;;;div.nav-journals > div a;0;;div.nav-journals > div a;0;;https://jamanetwork.com;fine;
