PUBLISHER_NAME	PUBLISHER_FILENAME	PUBLISHER_MODE	PUBLISHER_URL	PUBLISHER_PAGES	PUBLISHER_PAGES_NR	PUBLISHER_RESULTS_NODE	PUBLISHER_RESULTS_REGEX	PUBLISHER_RESULTS_ADDCODE_YESNO	PUBLISHER_RESULTS_ADDITIONAL_CODE	PUBLISHER_RESULTS_PER_PAGE	PUBLISHER_PAGE_URL_BEFORE	PUBLISHER_PAGE_URL_AFTER	PUBLISHER_PAGE_I	JOURNALNAME_CSS	JOURNALNAMES_ADDCODE_YESNO	JOURNALNAMES_ADDITIONAL_CODE	JOURNAL_URL_NODES	JOURNALURL_ADDCODE_YESNO	JOURNALURL_ADDITIONAL_CODE	JOURNALURL_PASTE	COMMENT	OTHER
World Scientific	worldsci	rvest	https://www.worldscientific.com/action/showPublications?PubType=journal&startPage=0&pageSize=100	MULTIPLE	UNKNOWN	#pb-page-content > div > div.container > div > main > div.col-sm-8 > div > div.search-result__meta > div > div.pull-left.search__result > span.result__count	.*	0	NA	100	https://www.worldscientific.com/action/showPublications?PubType=journal&pageSize=100&startPage=	NA	i-1	.search-result__body.titles-results h4	0	NA	.search-result__body.titles-results h4 > a	0	NA	https://www.worldscientific.com	fine	NA
BioMedCentral	bmc	rvest	https://www.biomedcentral.com/journals-a-z	single	single	NA	NA	0	NA	NA	NA	NA	NA	#journalList li.c-list-group__item	1	journalnames <- stringr::str_squish(journalnames)	#journalList li.c-list-group__item > a	1	"journalurl <- Filter(function(x) !any(grepl(""getpublished/peer-review-process"", x)), journalurl)"	https:	fine	NA
Universitas Negeri Semarang	unnes	rvest	https://journal.unnes.ac.id/sju/	single	single	NA	NA	0	NA	NA	NA	NA	NA	ul.media-list h3.media-heading a	0	NA	ul.media-list h3.media-heading a	0	NA	NA	fine	NA
Elsevier	elsevier	rvest	https://www.elsevier.com/search-results?labels=journals&in-publication=true&sort=document.titleRaw-asc	MULTIPLE	UNKNOWN	.search-status-inner	^[\S\s]*(?=results)	1	"results <- stringr::str_squish(results); results <- gsub("","", """", results)"	10	https://www.elsevier.com/search-results?labels=journals&in-publication=true&sort=document.titleRaw-asc&page=	NA	i	h2.search-result-journal-title	0	NA	h2.search-result-journal-title > a	0	NA	NA	fine	NA
OMICS	omics	RSelenium	https://www.omicsonline.org/open-access-journals-list.php	single	single	NA	NA	0	NA	NA	NA	NA	NA	.card-body > nav > a	1	"journalnames <- gsub(""( Hybrid)* Open Access Journal"", """", journalnames)"	.card-body > nav > a	0	NA	NA	fine	OMIT_URL_UNIQUE
SCIRP	scirp	rvest	https://www.scirp.org/journal/indexbytitle.aspx	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.content section div.mediabox ul li a	0	NA	div.content section div.mediabox ul li a	0	NA	NA	fine	NA
Academic Journals	acadjourn	rvest	https://academicjournals.org/journal	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.col-lg-12 h5 a	0	NA	div.col-lg-12 h5 a	0	NA	https://academicjournals.org	fine	NA
Allied Academies	allied	rvest	https://www.alliedacademies.org/journals-by-title.php	single	single	NA	NA	0	NA	NA	NA	NA	NA	main .nav > a.nav-link	0	NA	main .nav > a.nav-link	0	NA	NA	fine	NA
University of Chicago Press	uchicago	rvest	NA	MULTIPLE	5	NA	NA	0	NA	NA	https://www.journals.uchicago.edu/action/showPublications?pageSize=20&startPage=	NA	i-1	h4.meta__title > a	0	NA	h4.meta__title > a	0	NA	https://www.journals.uchicago.edu/toc	fine	NA
ACS	acs	{STH MISSING HERE}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JSciMedCentral	jscimed	rvest	https://www.jscimedcentral.com/journals.php	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.tab_container > div.tab_content td > div > a	1	"journalnames <- journalnames[!journalnames %in% ""Home Page""]"	div.tab_container > div.tab_content td > div > a	0	NA	https://www.jscimedcentral.com/	fine	NA
Copernicus	NA	{STH MISSING HERE}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COMPLICATED (SUBCATEGORIES)	NA
Ubiquity Press	ubiquity1	rvest	https://www.ubiquitypress.com/site/journals/	single	single	NA	NA	0	NA	NA	NA	NA	NA	ul.journal-list > li h2	0	NA	ul.journal-list > li a.series-button	0	NA	NA	fine	NA
Ubiquity Press	ubiquity2	rvest	https://www.ubiquitypress.com/site/journals/hosted/	single	single	NA	NA	0	NA	NA	NA	NA	NA	ul.journal-list > li h2	1	"journalnames <- journalnames[!journalnames %in% ""Impact on Policy and Practice""]"	ul.journal-list > li a.series-button	0	NA	NA	fine	NA
ABA	NA	{STH MISSING HERE}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	[too heterogenenous to scrape]	NA
bepress	NA	{STH MISSING HERE}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	[not a publisher]	NA
Minerva Medica	minerva	rvest	https://www.minervamedica.it/en/journals/index.php	single	single	NA	NA	0	NA	NA	NA	NA	NA	#Content > div:nth-child(5) > p	0	NA	#Content > div:nth-child(5) > p > a	0	NA	https://www.minervamedica.it/en/journals	fine	NA
Universitas Diponegoro	NA	{STH MISSING HERE}	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	COMPLICATED (UNSTRUCTURED)	NA
Pensoft Publishers	pensoft	rvest	https://pensoft.net/browse-journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.col-md-5.col-xs-12 > a	0	NA	div.col-md-5.col-xs-12 > a	0	NA	NA	fine	NA
ASME	asme	RSelenium	https://www.asme.org/publications-submissions/journals/find-journal?type=Journals&perPage=25&sortBy=title&sortByDir=asc&page=1	MULTIPLE	2	div.total-results	(?<=of ).*?(?= )	0	NA	25	https://www.asme.org/publications-submissions/journals/find-journal?type=Journals&perPage=25&sortBy=title&sortByDir=asc&page=	NA	i	section.listing h5	0	NA	section.listing > div > a	0	NA	https://www.asme.org	(not working, possibly because of Rselenium and Multiple pages?)	NA
JAMA	jama	rvest	https://jamanetwork.com/	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.nav-journals > div a	0	NA	div.nav-journals > div a	0	NA	https://jamanetwork.com	fine	NA
Hogrefe	hogrefe	rvest	https://www.hogrefe.com/us/journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.columns.site-content a.teaser-box > h2	0	NA	div.columns.site-content a.teaser-box	0	NA	https://www.hogrefe.com	fine	NA
University of California Press	ucpress	rvest	https://online.ucpress.edu/journals#journal-list	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.homepage-panel-text > h3 > a	0	NA	div.homepage-panel-text > h3 > a	0	NA	https://online.ucpress.edu	fine	NA
Edinburgh University Press	edinburgh	rvest	NA	MULTIPLE	3	NA	NA	0	NA	NA	https://euppublishing.com/action/showPublications?startPage=	NA	i-1	div.pubTitle > a	0	NA	div.pubTitle > a	0	NA	https://euppublishing.com	fine	NA
Universidad de Murcia	unimurcia	rvest	https://revistas.um.es/	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.journals > ul > li h3 > a	0	NA	div.journals > ul > li h3 > a	0	NA	NA	fine	NA
University of Toronto Press	utoronto	rvest	https://utpjournals.press/journals	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.bigger-letters ul li a	0	NA	div.bigger-letters ul li a	0	NA	https://utpjournals.press	fine	NA
Universidad Complutense Madrid	ucm	rvest	https://revistas.ucm.es/	single	single	NA	NA	0	NA	NA	NA	NA	NA	#materias div.panel-body > div > a	0	NA	#materias div.panel-body > div > a	0	NA	https://revistas.ucm.es	fine	NA
AOSIS	aosis	rvest	https://aosis.co.za/journal-collection/	single	single	NA	NA	0	NA	NA	NA	NA	NA	h3.wpdaddy_portfolio_list__title	0	NA	div.wpdaddy_portfolio_list__content > a	0	NA	https://aosis.co.za/journal-collection	fine	NA
Begell House	begell	rvest	https://www.begellhouse.com/journals/	single	single	NA	NA	0	NA	NA	NA	NA	NA	div.products-list-info a.products-list-title	0	NA	div.products-list-info a.products-list-title	0	NA	https://www.begellhouse.com	COMPLICATED	NA
Indiana University Press	uindiana	rvest	NA	MULTIPLE	5	NA	NA	0	NA	NA	https://iupress.org/journals/page/	/	i	#page h2.entry-title > a	0	NA	#page h2.entry-title > a	0	NA	NA	fine	NA
Universitas Gadjah Mada	ugm	rvest	https://jurnal.ugm.ac.id/	single	single	NA	NA	0	NA	NA	NA	NA	NA	#content > h3	0	NA	"//div[@class=""content""]/a[following-sibling::text()[contains(., ""View Journal"")]]"	0	NA	NA	error with xpath	NA
